X,Y,
1,0.0000,
2,0.6931,
3,1.0986,
4,1.3863,
5,1.6094,
6,1.7918,
7,1.9459,
8,2.0794,
9,2.1972,
10,2.3026,
11,2.3979,
12,2.4849,
13,2.5649,
14,2.6391,
15,2.7081,
16,2.7726,
17,2.8332,
18,2.8904,
19,2.9444,
20,2.9957,
21,3.0445,
22,3.0910,
23,3.1355,
24,3.1781,
25,3.2189,
26,3.2581,
27,3.2958,
28,3.3322,
29,3.3673,
30,3.4012,
31,3.4340,
32,3.4657,
33,3.4965,
34,3.5264,
35,3.5553,
36,3.5835,
37,3.6109,
38,3.6376,
39,3.6636,
40,3.6889,
41,3.7136,
42,3.7377,
43,3.7612,
44,3.7842,
45,3.8067,
46,3.8286,
47,3.8501,
48,3.8712,
49,3.8918,
50,3.9120,
51,3.9318,
52,3.9512,
53,3.9703,
54,3.9890,
55,4.0073,
56,4.0254,
57,4.0431,
58,4.0604,
59,4.0775,
60,4.0943,
61,4.1109,
62,4.1271,
63,4.1431,
64,4.1589,
65,4.1744,
66,4.1897,
67,4.2047,
68,4.2195,
69,4.2341,
70,4.2485,
71,4.2627,
72,4.2767,
73,4.2905,
74,4.3041,
75,4.3175,
76,4.3307,
77,4.3438,
78,4.3567,
79,4.3694,
80,4.3820,
81,4.3944,
82,4.4067,
83,4.4188,
84,4.4308,
85,4.4427,
86,4.4543,
87,4.4659,
88,4.4773,
89,4.4886,
90,4.4998,
91,4.5109,
92,4.5218,
93,4.5326,
94,4.5433,
95,4.5539,
96,4.5643,
97,4.5747,
98,4.5850,
99,4.5951,
100,4.6052,
101,4.6151,
102,4.6250,
103,4.6347,
104,4.6444,
105,4.6540,
106,4.6634,
107,4.6728,
108,4.6821,
109,4.6913,
110,4.7005,
111,4.7095,
112,4.7185,
113,4.7274,
114,4.7362,
115,4.7449,
116,4.7536,
117,4.7622,
118,4.7707,
119,4.7791,
120,4.7875,
121,4.7958,
122,4.8040,
123,4.8122,
124,4.8203,
125,4.8283,
126,4.8363,
127,4.8442,
128,4.8520,
129,4.8598,
130,4.8675,
131,4.8752,
132,4.8828,
133,4.8903,
134,4.8978,
135,4.9053,
136,4.9127,
137,4.9200,
138,4.9273,
139,4.9345,
140,4.9416,
141,4.9488,
142,4.9558,
143,4.9628,
144,4.9698,
145,4.9767,
146,4.9836,
147,4.9904,
148,4.9972,
149,5.0039,
150,5.0106,
151,5.0173,
152,5.0239,
153,5.0304,
154,5.0370,
155,5.0434,
156,5.0499,
157,5.0562,
158,5.0626,
159,5.0689,
160,5.0752,
161,5.0814,
162,5.0876,
163,5.0938,
164,5.0999,
165,5.1059,
166,5.1120,
167,5.1180,
168,5.1240,
169,5.1299,
170,5.1358,
171,5.1417,
172,5.1475,
173,5.1533,
174,5.1591,
175,5.1648,
176,5.1705,
177,5.1761,
178,5.1818,
179,5.1874,
180,5.1930,
181,5.1985,
182,5.2040,
183,5.2095,
184,5.2149,
185,5.2204,
186,5.2257,
187,5.2311,
188,5.2364,
189,5.2417,
190,5.2470,
191,5.2523,
192,5.2575,
193,5.2627,
194,5.2679,
195,5.2730,
196,5.2781,
197,5.2832,
198,5.2883,
199,5.2933,
200,5.2983,
201,5.3033,
202,5.3083,
203,5.3132,
204,5.3181,
205,5.3230,
206,5.3279,
207,5.3327,
208,5.3375,
209,5.3423,
210,5.3471,
211,5.3519,
212,5.3566,
213,5.3613,
214,5.3660,
215,5.3706,
216,5.3753,
217,5.3799,
218,5.3845,
219,5.3891,
220,5.3936,
221,5.3982,
222,5.4027,
223,5.4072,
224,5.4116,
225,5.4161,
226,5.4205,
227,5.4250,
228,5.4293,
229,5.4337,
230,5.4381,
231,5.4424,
232,5.4467,
233,5.4510,
234,5.4553,
235,5.4596,
236,5.4638,
237,5.4681,
238,5.4723,
239,5.4765,
240,5.4806,
241,5.4848,
242,5.4889,
243,5.4931,
244,5.4972,
245,5.5013,
246,5.5053,
247,5.5094,
248,5.5134,
249,5.5175,
250,5.5215,
251,5.5255,
252,5.5294,
253,5.5334,
254,5.5373,
255,5.5413,
256,5.5452,
257,5.5491,
258,5.5530,
259,5.5568,
260,5.5607,
261,5.5645,
262,5.5683,
263,5.5722,
264,5.5759,
265,5.5797,
266,5.5835,
267,5.5872,
268,5.5910,
269,5.5947,
270,5.5984,
271,5.6021,
272,5.6058,
273,5.6095,
274,5.6131,
275,5.6168,
276,5.6204,
277,5.6240,
278,5.6276,
279,5.6312,
280,5.6348,
281,5.6384,
282,5.6419,
283,5.6454,
284,5.6490,
285,5.6525,
286,5.6560,
287,5.6595,
288,5.6630,
289,5.6664,
290,5.6699,
291,5.6733,
292,5.6768,
293,5.6802,
294,5.6836,
295,5.6870,
296,5.6904,
297,5.6937,
298,5.6971,
299,5.7004,
300,5.7038,
301,5.7071,
302,5.7104,
303,5.7137,
304,5.7170,
305,5.7203,
306,5.7236,
307,5.7268,
308,5.7301,
309,5.7333,
310,5.7366,
311,5.7398,
312,5.7430,
313,5.7462,
314,5.7494,
315,5.7526,
316,5.7557,
317,5.7589,
318,5.7621,
319,5.7652,
320,5.7683,
321,5.7714,
322,5.7746,
323,5.7777,
324,5.7807,
325,5.7838,
326,5.7869,
327,5.7900,
328,5.7930,
329,5.7961,
330,5.7991,
331,5.8021,
332,5.8051,
333,5.8081,
334,5.8111,
335,5.8141,
336,5.8171,
337,5.8201,
338,5.8230,
339,5.8260,
340,5.8289,
341,5.8319,
342,5.8348,
343,5.8377,
344,5.8406,
345,5.8435,
346,5.8464,
347,5.8493,
348,5.8522,
349,5.8551,
350,5.8579,
351,5.8608,
352,5.8636,
353,5.8665,
354,5.8693,
355,5.8721,
356,5.8749,
357,5.8777,
358,5.8805,
359,5.8833,
360,5.8861,
361,5.8889,
362,5.8916,
363,5.8944,
364,5.8972,
365,5.8999,
366,5.9026,
367,5.9054,
368,5.9081,
369,5.9108,
370,5.9135,
371,5.9162,
372,5.9189,
373,5.9216,
374,5.9243,
375,5.9269,
376,5.9296,
377,5.9322,
378,5.9349,
379,5.9375,
380,5.9402,
381,5.9428,
382,5.9454,
383,5.9480,
384,5.9506,
385,5.9532,
386,5.9558,
387,5.9584,
388,5.9610,
389,5.9636,
390,5.9661,
391,5.9687,
392,5.9713,
393,5.9738,
394,5.9764,
395,5.9789,
396,5.9814,
397,5.9839,
398,5.9865,
399,5.9890,
400,5.9915,
401,5.9940,
402,5.9965,
403,5.9989,
404,6.0014,
405,6.0039,
406,6.0064,
407,6.0088,
408,6.0113,
409,6.0137,
410,6.0162,
411,6.0186,
412,6.0210,
413,6.0234,
414,6.0259,
415,6.0283,
416,6.0307,
417,6.0331,
418,6.0355,
419,6.0379,
420,6.0403,
421,6.0426,
422,6.0450,
423,6.0474,
424,6.0497,
425,6.0521,
426,6.0544,
427,6.0568,
428,6.0591,
429,6.0615,
430,6.0638,
431,6.0661,
432,6.0684,
433,6.0707,
434,6.0730,
435,6.0753,
436,6.0776,
437,6.0799,
438,6.0822,
439,6.0845,
440,6.0868,
441,6.0890,
442,6.0913,
443,6.0936,
444,6.0958,
445,6.0981,
446,6.1003,
447,6.1026,
448,6.1048,
449,6.1070,
450,6.1092,
451,6.1115,
452,6.1137,
453,6.1159,
454,6.1181,
455,6.1203,
456,6.1225,
457,6.1247,
458,6.1269,
459,6.1291,
460,6.1312,
461,6.1334,
462,6.1356,
463,6.1377,
464,6.1399,
465,6.1420,
466,6.1442,
467,6.1463,
468,6.1485,
469,6.1506,
470,6.1527,
471,6.1549,
472,6.1570,
473,6.1591,
474,6.1612,
475,6.1633,
476,6.1654,
477,6.1675,
478,6.1696,
479,6.1717,
480,6.1738,
481,6.1759,
482,6.1779,
483,6.1800,
484,6.1821,
485,6.1841,
486,6.1862,
487,6.1883,
488,6.1903,
489,6.1924,
490,6.1944,
491,6.1964,
492,6.1985,
493,6.2005,
494,6.2025,
495,6.2046,
496,6.2066,
497,6.2086,
498,6.2106,
499,6.2126,
500,6.2146,
501,6.2166,
502,6.2186,
503,6.2206,
504,6.2226,
505,6.2246,
506,6.2265,
507,6.2285,
508,6.2305,
509,6.2324,
510,6.2344,
511,6.2364,
512,6.2383,
513,6.2403,
514,6.2422,
515,6.2442,
516,6.2461,
517,6.2480,
518,6.2500,
519,6.2519,
520,6.2538,
521,6.2558,
522,6.2577,
523,6.2596,
524,6.2615,
525,6.2634,
526,6.2653,
527,6.2672,
528,6.2691,
529,6.2710,
530,6.2729,
531,6.2748,
532,6.2766,
533,6.2785,
534,6.2804,
535,6.2823,
536,6.2841,
537,6.2860,
538,6.2879,
539,6.2897,
540,6.2916,
541,6.2934,
542,6.2953,
543,6.2971,
544,6.2989,
545,6.3008,
546,6.3026,
547,6.3044,
548,6.3063,
549,6.3081,
550,6.3099,
551,6.3117,
552,6.3135,
553,6.3154,
554,6.3172,
555,6.3190,
556,6.3208,
557,6.3226,
558,6.3244,
559,6.3261,
560,6.3279,
561,6.3297,
562,6.3315,
563,6.3333,
564,6.3351,
565,6.3368,
566,6.3386,
567,6.3404,
568,6.3421,
569,6.3439,
570,6.3456,
571,6.3474,
572,6.3491,
573,6.3509,
574,6.3526,
575,6.3544,
576,6.3561,
577,6.3578,
578,6.3596,
579,6.3613,
580,6.3630,
581,6.3648,
582,6.3665,
583,6.3682,
584,6.3699,
585,6.3716,
586,6.3733,
587,6.3750,
588,6.3767,
